branch,grid_index,fraction_to_theoretical_endpoint,gamma_d_prime,kappa_ratio,gains_from_trade_pct,A_hash,f_hash,classification,delta_star,certified_lower_bound,exact_infeasibility_kind,exact_infeasibility_block,policy,evaluation_cap,raw_lower_limit,solver_status,iterations,wall_seconds,warm_start_source,primal_dual_gap,normalization_residual,weighted_moment_residual,kkt_residual,primal_divergence,dual_divergence,min_slack,gravity_residual_A,gravity_residual_f,min_density_ratio,max_density_ratio,cold_replay_status
A_toward_min_gamma,0,0.0,0.9697008880208994,0.9796971896,2.03028104,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000407206993,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,2,3.588,calibration_seed,2.494478e-15,0.0,2.342571e-14,,0.000407207,0.000407207,0.02051175,-3.756544e-15,6.071532e-16,0.2776345,4.753382,not_replayed
A_toward_min_gamma,1,0.000625,0.9696150651672264,0.9796393837,2.03606163,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000407864609,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,9,0.4804,calibration_seed,7.491837e-17,1.110223e-16,1.521006e-14,,0.0004078646,0.0004078646,0.02057075,-3.756544e-15,8.404735e-16,0.2776345,4.753382,not_replayed
A_toward_min_gamma,2,0.0025,0.9693576117988131,0.979465966,2.0534034,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000420876868,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,10,0.5693,previous_finite_idx1,1.670213e-16,0.0,1.454392e-14,,0.0004208769,0.0004208769,0.02074779,-3.756544e-15,6.722053e-16,0.2776345,4.753382,not_replayed
A_toward_min_gamma,3,0.005625,0.9689285736463907,0.9791769366,2.08230634,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000479231213,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,11,0.5352,previous_finite_idx2,3.098379e-15,0.0,5.398791e-13,,0.0004792312,0.0004792312,0.02104292,-3.756544e-15,4.241399e-16,0.2776345,4.753382,not_replayed
A_toward_min_gamma,4,0.01,0.9683280263985199,0.9787722953,2.12277047,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000633647724,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,14,0.5315,previous_finite_idx3,4.907099e-16,0.0,9.880985e-15,,0.0006336477,0.0006336477,0.02145625,-3.756544e-15,2.662801e-16,0.2776345,4.753382,not_replayed
A_toward_min_gamma,5,0.015625,0.967556076763059,0.9782520423,2.17479577,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.00095393283,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,15,0.5852,previous_finite_idx4,3.256943e-16,0.0,1.454392e-14,,0.0009539328,0.0009539328,0.02198793,-3.756544e-15,2.940356e-16,0.2776345,4.753382,not_replayed
A_toward_min_gamma,6,0.0225,0.9666128613113416,0.9776161774,2.23838226,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.00151378178,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.5507,previous_finite_idx5,1.009392e-15,0.0,1.210143e-14,,0.001513782,0.001513782,0.02263814,-3.756544e-15,2.012279e-16,0.2776345,4.905652,not_replayed
A_toward_min_gamma,7,0.030625,0.965498547705696,0.9768647008,2.31352992,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.00240824471,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,17,0.499,previous_finite_idx6,6.119237e-16,2.220446e-16,1.132427e-14,,0.002408245,0.002408245,0.02340712,-3.756544e-15,3.972517e-16,0.2776345,6.388359,not_replayed
A_toward_min_gamma,8,0.04,0.9642133337106051,0.9759976124,2.40023876,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.00373515384,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,18,0.6866,previous_finite_idx7,7.363901e-16,0.0,2.364775e-14,,0.003735154,0.003735154,0.02429514,-3.756544e-15,4.093947e-16,0.2776345,8.010791,not_replayed
A_toward_min_gamma,9,0.050625,0.962757447844898,0.9750149122,2.49850878,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.00560194222,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.5245,previous_finite_idx8,1.08585e-14,0.0,3.975586e-13,,0.005601942,0.005601942,0.02455297,-3.756544e-15,6.236331e-16,0.2776345,9.782471,not_replayed
A_toward_min_gamma,10,0.0625,0.9611311493014232,0.9739166002,2.60833998,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0081305674,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.5302,previous_finite_idx9,4.315992e-15,1.110223e-16,1.724532e-13,,0.008130567,0.008130567,0.02455297,-3.756544e-15,-1.257675e-16,0.2776345,11.71742,not_replayed
A_toward_min_gamma,11,0.075625,0.9593347281723467,0.9727026765,2.72973235,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0114570615,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.5075,previous_finite_idx10,5.620504e-16,2.220446e-16,1.401982e-13,,0.01145706,0.01145706,0.02455297,-3.756544e-15,-6.678685000000001e-17,0.2776345,13.83942,not_replayed
A_toward_min_gamma,12,0.09,0.9573685049440832,0.9713731409,2.86268591,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0157262423,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.5119,previous_finite_idx11,9.815065e-15,0.0,1.798363e-13,,0.01572624,0.01572624,0.02455297,-3.756544e-15,2.1684040000000002e-17,0.2776345,16.16029,not_replayed
A_toward_min_gamma,13,0.105625,0.9552328316292676,0.9699279936,3.00720064,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0210949812,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.4849,previous_finite_idx12,2.941744e-14,0.0,3.245816e-13,,0.02109498,0.02109498,0.02455297,-3.756544e-15,4.440892e-16,0.2776345,18.7031,not_replayed
A_toward_min_gamma,14,0.1225,0.9529280906896649,0.9683672344,3.16327656,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.0277263019,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.5711,previous_finite_idx13,8.970255e-14,0.0,6.968046e-13,,0.0277263,0.0277263,0.02455297,-3.756544e-15,8.500145000000001e-17,0.2776345,21.49426,not_replayed
